,sentence,correct,tags,tags_trigram,poss,poss_trigram,en,es,model_result
0,The firemen arrived ten minutes later.,True,DT NNS VBD CD NNS RB . ,DT NNS VBD,DET NOUN VERB NUM NOUN ADV PUNCT ,DET NOUN VERB,-12.565441012173688,-13.730625533809226,True
1,Arrived the firemen ten minutes later.,False,VBD DT NNS CD NNS RB . ,VBD DT NNS,VERB DET NOUN NUM NOUN ADV PUNCT ,VERB DET NOUN,-14.976397285912547,-12.809509205134402,True
2,Yesterday played very well the children.,False,NN VBD RB RB DT NNS . ,VBD RB RB,NOUN VERB ADV ADV DET NOUN PUNCT ,VERB ADV ADV,-9.804493364960797,-9.236480355539905,True
3,Played very well the children yesterday.,False,VBN RB RB DT NNS NN . ,VBN RB RB,VERB ADV ADV DET NOUN NOUN PUNCT ,VERB ADV ADV,-11.868417793491494,-13.04805042083184,False
4,Yesterday the children played very well.,True,NN DT NNS VBD RB RB . ,DT NNS VBD,NOUN DET NOUN VERB ADV ADV PUNCT ,DET NOUN VERB,-10.667846000431245,-12.96131814256757,True
5,The children played very well yesterday.,True,DT NNS VBD RB RB NN . ,DT NNS VBD,DET NOUN VERB ADV ADV NOUN PUNCT ,DET NOUN VERB,-12.860725224832704,-14.972963004274295,True
6,Often she has helped.,False,RB PRP VBZ VBN . ,RB PRP VBZ,ADV PRON VERB VERB PUNCT ,ADV PRON VERB,-4.43992186114072,-2.4259516079131926,True
7,She often has helped.,False,PRP RB VBZ VBN . ,RB VBZ VBN,PRON ADV VERB VERB PUNCT ,PRON ADV VERB,-6.406445414785408,-4.1131149164850695,True
8,They live in the house white.,False,PRP VBP IN DT NN JJ . ,NN JJ .,PRON VERB ADP DET NOUN ADJ PUNCT ,NOUN ADJ PUNCT,-9.000618660463289,-4.522076534422606,True
9,Can you lend me a ball of tennis?,False,MD PRP VB PRP DT NN IN NN . ,NN IN NN,VERB PRON VERB PRON DET NOUN ADP NOUN PUNCT ,NOUN ADP NOUN,-9.338228307739616,-12.371764464236824,False
10,The Club of Bridge of the University of Cambridge.,False,DT NNP IN NNP IN DT NNP IN NNP . ,NNP IN NNP,DET PROPN ADP PROPN ADP DET PROPN ADP PROPN PUNCT ,PROPN ADP PROPN,-11.801346930322484,-9.341474863267322,True
11,They gave to Sam the book.,False,PRP VBD IN NNP DT NN . ,IN NNP DT,PRON VERB ADP PROPN DET NOUN PUNCT ,ADP PROPN DET,-9.431836674500124,-7.532792826040588,True
12,They gave the book to Sam.,True,PRP VBD DT NN IN NNP . ,IN NNP .,PRON VERB DET NOUN ADP PROPN PUNCT ,ADP PROPN PUNCT,-5.864808439333844,-5.257630508784626,False
13,They took to the hospital her mother.,False,PRP VBD IN DT NN PRP$ NN . ,NN PRP$ NN,PRON VERB ADP DET NOUN DET NOUN PUNCT ,NOUN DET NOUN,-12.046812744502606,-11.196689046410803,True
14,Mrs Smith speaks very well English.,False,NNP NNP VBZ RB RB NNP . ,RB RB NNP,PROPN PROPN VERB ADV ADV PROPN PUNCT ,ADV ADV PROPN,-11.934666175593202,-12.880930813083891,False
15,Keep tidy Britain.,False,VB JJ NNP . ,VB JJ NNP,VERB ADJ PROPN PUNCT ,VERB ADJ PROPN,-5.559572802672457,-5.540565287599983,True
16,John has bought the books?,True,NNP VBZ VBN DT NNS . ,NNP VBZ VBN,PROPN VERB VERB DET NOUN PUNCT ,PROPN VERB VERB,-6.277692864586228,-4.764467000670709,False
17,Has bought the books John?,False,VBZ VBN DT NNS NNP . ,VBZ VBN DT,VERB VERB DET NOUN PROPN PUNCT ,VERB VERB DET,-11.750228700266302,-8.382773245007858,True
18,Mary came?,True,NNP VBD . ,NNP VBD .,PROPN VERB PUNCT ,PROPN VERB PUNCT,-3.9113880976373037,-5.613680331078658,True
19,When Mary came?,False,WRB NNP VBD . ,WRB NNP VBD,ADV PROPN VERB PUNCT ,ADV PROPN VERB,-2.164108295689112,-4.0342406381523945,False
20,Came Mary?,False,VBD NNP . ,VBD NNP .,VERB PROPN PUNCT ,VERB PROPN PUNCT,-3.196985068534038,-2.47463393993228,True
21,"Mary, when came?",False,"NNP , WRB VBD . ",WRB VBD .,PROPN PUNCT ADV VERB PUNCT ,ADV VERB PUNCT,-9.962024424818448,-13.540233661187198,False
22,Who did kill Oswald?,False,WP VBD VB NNP . ,VBD VB NNP,PRON VERB VERB PROPN PUNCT ,VERB VERB PROPN,-9.808364185944745,-12.283311425870972,False
23,Who Oswald killed?,False,WP NNP VBD . ,WP NNP VB,PRON PROPN VERB PUNCT ,PRON PROPN VERB,-3.0350531419479787,-3.29308961152919,False
24,Who killed to Kennedy?,False,WP VBD IN NNP . ,VBD IN NNP,PRON VERB ADP PROPN PUNCT ,VERB ADP PROPN,-4.0737727737294485,-3.3869469336788365,True
25,Who Kennedy killed?,False,WP NNP VBD . ,WP NNP VBD,PRON PROPN VERB PUNCT ,PRON PROPN VERB,-3.0350531419479787,-3.29308961152919,False
26,Did they went?,False,VBD PRP VBD . ,VBD PRP VBD,VERB PRON VERB PUNCT ,VERB PRON VERB,-2.807305159197551,-2.863665010034358,False
27,Do they went?,False,VBP PRP VBD . ,VBP PRP VBD,VERB PRON VERB PUNCT ,VERB PRON VERB,-4.327982306914442,-4.35593152389103,False
28,Do she goes?,False,VBP PRP VBZ . ,VBP PRP VBZ,VERB PRON VERB PUNCT ,VERB PRON VERB,-2.2255918322490604,-2.103046099449257,True
29,Does she goes?,False,VBZ PRP VBZ . ,VBZ . _,VERB PRON VERB PUNCT ,VERB PUNCT _,-3.366390954910593,-2.806218246178532,True
30,"They're coming tomorrow, no?",False,"PRP VBP VBG NN , UH . ",UH . _,PRON VERB VERB NOUN PUNCT INTJ PUNCT ,INTJ PUNCT _,-15.293504551805668,-19.487284335662686,False
31,"You have a car, no?",False,"PRP VBP DT NN , UH . ",", UH .",PRON VERB DET NOUN PUNCT INTJ PUNCT ,PUNCT INTJ PUNCT,-12.89197048677778,-15.129467634105207,False
32,Peter not found the key.,False,NNP RB VBD DT NN . ,RB VBD DT,PROPN ADV VERB DET NOUN PUNCT ,ADV VERB DET,-3.9879676465194662,-5.073700772780493,False
33,Peter not has found the key.,False,NNP RB VBZ VBN DT NN . ,RB VBZ VBN,PROPN ADV VERB VERB DET NOUN PUNCT ,ADV VERB VERB,-8.04409466903617,-4.95686836406827,True
34,I no understand.,False,PRP RB VBP . ,RB VBP .,PRON ADV VERB PUNCT ,ADV VERB PUNCT,-0.7421652680140682,-1.1110793615939605,False
