sentence,correct,tags
The firemen arrived ten minutes later.,True,DT NNS VBD CD NNS RB . 
Arrived the firemen ten minutes later.,False,VBD DT NNS CD NNS RB . 
Yesterday played very well the children.,False,NN VBD RB RB DT NNS . 
Played very well the children yesterday.,False,VBN RB RB DT NNS NN . 
Yesterday the children played very well.,True,NN DT NNS VBD RB RB . 
The children played very well yesterday.,True,DT NNS VBD RB RB NN . 
Often she has helped.,False,RB PRP VBZ VBN . 
She often has helped.,False,PRP RB VBZ VBN . 
They live in the house white.,False,PRP VBP IN DT NN JJ . 
Can you lend me a ball of tennis?,False,MD PRP VB PRP DT NN IN NN . 
The Club of Bridge of the University of Cambridge.,False,DT NNP IN NNP IN DT NNP IN NNP . 
They gave to Sam the book.,False,PRP VBD IN NNP DT NN . 
They gave the book to Sam.,True,PRP VBD DT NN IN NNP . 
They took to the hospital her mother.,False,PRP VBD IN DT NN PRP$ NN . 
Mrs Smith speaks very well English.,False,NNP NNP VBZ RB RB NNP . 
Keep tidy Britain.,False,VB JJ NNP . 
John has bought the books?,True,NNP VBZ VBN DT NNS . 
Has bought the books John? Mary came?,False,VBZ VBN DT NNS NNP . NNP VBD . 
When Mary came?,False,WRB NNP VBD . 
Came Mary?,False,VBD NNP . 
"Mary, when came?",False,"NNP , WRB VBD . "
Who did kill Oswald?,False,WP VBD VB NNP . 
Who Oswald killed?,False,WP NNP VBD . 
Who killed to Kennedy?,False,WP VBD IN NNP . 
Who Kennedy killed?,False,WP NNP VBD . 
Did they went?,False,VBD PRP VBD . 
Do they went?,False,VBP PRP VBD . 
Do she goes?,False,VBP PRP VBZ . 
Does she goes?,False,VBZ PRP VBZ . 
"They're coming tomorrow, no?",False,"PRP VBP VBG NN , UH . "
"You have a car, no?",False,"PRP VBP DT NN , UH . "
Peter not found the key.,False,NNP RB VBD DT NN . 
Peter not has found the key.,False,NNP RB VBZ VBN DT NN . 
I no understand.,False,PRP RB VBP . 
Those no.,False,DT UH . 
Green no.,False,NNP NN . 
Here no.,False,RB UH . 
I not saw nobody.,False,PRP RB VBD NN . 
I didn't see nobody.,False,PRP VBD RB VB NN . 
Tom not helps her never.,False,NNP RB VBZ PRP RB . 
Tom doesn't help her never.,False,NNP VBZ RB VB PRP RB . 
I waited but anybody came.,False,PRP VBD CC NN VBD . 
