,sequence,guess
0,"['PRON', 'VERB', 'VERB']",zhs_ud
1,"['ADJ', 'NOUN', 'ADP']",zhs_ud
2,"['PROPN', 'PROPN', 'PUNCT']",en_ud
3,"['DET', 'NOUN', 'CCONJ']",en_ud
4,"['VERB', 'DET', 'NOUN']",zhs_ud
5,"['NOUN', 'ADP', 'DET']",zhs_ud
6,"['NOUN', 'PUNCT', 'CCONJ']",zhs_ud
7,"['DET', 'VERB', 'ADJ']",en_ud
8,"['ADP', 'DET', 'NOUN']",en_ud
9,"['ADJ', 'NOUN', 'ADP']",zhs_ud
10,"['CCONJ', 'ADV', 'VERB']",en_ud
11,"['NOUN', 'PUNCT', '_']",zhs_ud
12,"['NOUN', 'CCONJ', 'ADV']",zhs_ud
13,"['ADJ', 'NOUN', 'CCONJ']",zhs_ud
14,"['PRON', 'PRON', 'VERB']",en_ud
15,"['VERB', 'PRON', 'PRON']",zhs_ud
16,"['NOUN', 'PUNCT', 'PRON']",zhs_ud
17,"['ADV', 'ADJ', 'PUNCT']",zhs_ud
18,"['PROPN', 'PROPN', 'PUNCT']",en_ud
19,"['NOUN', 'ADP', 'DET']",zhs_ud
20,"['ADJ', 'NOUN', 'NOUN']",zhs_ud
21,"['ADP', 'DET', 'NOUN']",en_ud
22,"['NOUN', 'VERB', 'ADV']",zhs_ud
23,"['NOUN', 'ADP', 'DET']",zhs_ud
24,"['ADJ', 'NOUN', 'PUNCT']",zhs_ud
25,"['VERB', 'DET', 'PROPN']",zhs_ud
26,"['ADV', 'PUNCT', 'NOUN']",zhs_ud
27,"['VERB', 'ADP', 'VERB']",zhs_ud
28,"['DET', 'DET', 'NOUN']",en_ud
29,"['ADP', 'DET', 'ADJ']",en_ud
30,"['ADJ', 'NOUN', 'PUNCT']",zhs_ud
31,"['_', '_', '_']",zhs_ud
32,"['VERB', 'NOUN', 'ADV']",zhs_ud
33,"['VERB', 'DET', 'NOUN']",zhs_ud
34,"['ADV', 'PUNCT', 'ADP']",zhs_ud
35,"['ADP', 'DET', 'NOUN']",en_ud
36,"['PROPN', 'PUNCT', 'PRON']",en_ud
37,"['VERB', 'ADP', 'NUM']",zhs_ud
38,"['VERB', 'PRON', 'NOUN']",zhs_ud
39,"['ADJ', 'CCONJ', 'AUX']",en_ud
40,"['DET', 'ADJ', 'PUNCT']",en_ud
41,"['PROPN', 'PROPN', 'CCONJ']",en_ud
42,"['VERB', 'DET', 'NOUN']",zhs_ud
43,"['VERB', 'DET', 'NOUN']",zhs_ud
44,"['NOUN', 'NOUN', 'PRON']",zhs_ud
45,"['DET', 'NOUN', 'NOUN']",en_ud
46,"['NOUN', 'ADP', 'DET']",zhs_ud
47,"['NOUN', 'CCONJ', 'ADP']",zhs_ud
48,"['ADV', 'PUNCT', 'CCONJ']",zhs_ud
49,"['ADJ', 'ADJ', 'ADP']",en_ud
50,"['VERB', 'NOUN', 'PUNCT']",zhs_ud
51,"['VERB', 'PUNCT', 'DET']",zhs_ud
52,"['ADJ', 'NOUN', 'ADP']",zhs_ud
53,"['NOUN', 'ADP', 'PRON']",zhs_ud
54,"['PROPN', 'PROPN', 'PUNCT']",en_ud
55,"['ADP', 'DET', 'PROPN']",en_ud
56,"['PUNCT', 'NOUN', 'NOUN']",zhs_ud
57,"['VERB', 'DET', 'NOUN']",zhs_ud
58,"['NOUN', 'VERB', 'ADJ']",zhs_ud
59,"['NOUN', 'NOUN', 'VERB']",zhs_ud
