,sentence,correct,tags,trigram,en,es,model_result
0,The firemen arrived ten minutes later.,True,DT NNS VBD CD NNS RB . ,DT NNS VBD,63.14484160132063,65.76383414070344,False
1,Arrived the firemen ten minutes later.,False,VBD DT NNS CD NNS RB . ,VBD DT NNS,63.14484160132063,65.76383414070344,True
2,Yesterday played very well the children.,False,NN VBD RB RB DT NNS . ,DT NNS .,65.56457321438768,68.13958610852481,True
3,Played very well the children yesterday.,False,VBN RB RB DT NNS NN . ,VBN RB RB,66.59497986660949,68.73169261400821,True
4,Yesterday the children played very well.,True,NN DT NNS VBD RB RB . ,DT NNS VBD,65.56457321438768,68.1395861085248,False
5,The children played very well yesterday.,True,DT NNS VBD RB RB NN . ,DT NNS VBD,65.56457321438768,68.13958610852481,False
6,Often she has helped.,False,RB PRP VBZ VBN . ,RB PRP VBZ,42.128110866017344,42.70783633057554,True
7,She often has helped.,False,PRP RB VBZ VBN . ,RB VBZ VBN,42.128110866017344,42.70783633057554,True
8,They live in the house white.,False,PRP VBP IN DT NN JJ . ,DT NN JJ,67.75071402476189,70.63068938066584,True
9,Can you lend me a ball of tennis?,False,MD PRP VB PRP DT NN IN NN . ,NN IN NN,89.49176143290865,91.27735960071074,True
10,The Club of Bridge of the University of Cambridge.,False,DT NNP IN NNP IN DT NNP IN NNP . ,NNP IN NNP,103.97879802853416,110.46131116905771,True
11,They gave to Sam the book.,False,PRP VBD IN NNP DT NN . ,IN NNP DT,66.61866046170118,69.25978340017993,True
12,They gave the book to Sam.,True,PRP VBD DT NN IN NNP . ,IN NNP .,66.61866046170118,69.25978340017993,False
13,They took to the hospital her mother.,False,PRP VBD IN DT NN PRP$ NN . ,NN PRP$ NN,76.6194180498581,79.48299313257586,True
14,Mrs Smith speaks very well English.,False,NNP NNP VBZ RB RB NNP . ,RB RB NNP,65.59050228705951,68.7263988597377,True
15,Keep tidy Britain.,False,VB JJ NNP . ,VB JJ NNP,33.24205107359544,34.62523003913305,True
16,John has bought the books?,True,NNP VBZ VBN DT NNS . ,NNP VBZ VBN,54.507462483516356,57.022299958505315,False
17,Has bought the books John?,False,VBZ VBN DT NNS NNP .,VBZ VBN DT,54.507462483516356,57.022299958505315,True
18,Mary came?,True,NNP VBD . ,NNP VBD .,20.390646942897803,21.261768380733205,False
19,When Mary came?,False,WRB NNP VBD . ,WRB NNP VBD,28.58994510126134,25.75460938174739,False
20,Came Mary?,False,VBD NNP . ,VBD NNP .,20.390646942897803,21.261768380733205,True
21,"Mary, when came?",False,"NNP , WRB VBD . ",WRB VBD .,39.501116053551726,37.155412633330585,False
22,Who did kill Oswald?,False,WP VBD VB NNP . ,VBD VB NNP,39.3712606344653,40.291454550423744,True
23,Who Oswald killed?,False,WP NNP VBD . ,WP NNP VB,28.58388588638513,29.20698058679125,True
24,Who killed to Kennedy?,False,WP VBD IN NNP . ,IN NNP .,40.522957241374066,41.93136793033396,True
25,Who Kennedy killed?,False,WP NNP VBD . ,WP NNP VBD,28.58388588638513,29.20698058679125,True
26,Did they went?,False,VBD PRP VBD . ,VBD PRP VBD,29.10753379958581,29.37203469996685,True
27,Do they went?,False,VBP PRP VBD . ,VBP PRP VBD,30.132454476429853,30.77851962777389,True
28,Do she goes?,False,VBP PRP VBZ . ,VBP PRP VBZ,31.26048339998621,32.37761442184163,True
29,Does she goes?,False,VBZ PRP VBZ . ,VBZ . _,31.36359164669853,32.570224288102324,True
30,"They're coming tomorrow, no?",False,"PRP VBP VBG NN , UH . ",UH . _,59.84422306340578,58.20672276179944,False
31,"You have a car, no?",False,"PRP VBP DT NN , UH . ",", UH .",61.74696701754166,62.047357725630796,True
32,Peter not found the key.,False,NNP RB VBD DT NN . ,RB VBD DT,54.86794724427682,57.25516342637263,True
33,Peter not has found the key.,False,NNP RB VBZ VBN DT NN . ,RB VBZ VBN,66.24325804330348,68.91996559524617,True
34,I no understand.,False,PRP RB VBP . ,RB VBP .,31.77772074383472,32.449519089509046,True
35,Those no.,False,DT UH . ,DT UH .,18.038306543829354,17.060580547407255,False
