,sentence,correct,tags,trigram,en,es,model_result
0,The firemen arrived ten minutes later.,True,DT NNS VBD CD NNS RB . ,DT NNS VBD,-12.392351930422613,-12.589787370328498,True
1,Arrived the firemen ten minutes later.,False,VBD DT NNS CD NNS RB . ,VBD DT NNS,-13.358546624018624,-11.623597620826194,True
2,Yesterday played very well the children.,False,NN VBD RB RB DT NNS . ,DT NNS .,-9.800070085924112,-9.300766651979307,True
3,Played very well the children yesterday.,False,VBN RB RB DT NNS NN . ,VBN RB RB,-11.706890243658572,-11.513618328224313,True
4,Yesterday the children played very well.,True,NN DT NNS VBD RB RB . ,DT NNS VBD,-10.580729664570477,-12.03384911677992,True
5,The children played very well yesterday.,True,DT NNS VBD RB RB NN . ,DT NNS VBD,-12.459146891379032,-13.831526797174922,True
6,Often she has helped.,False,RB PRP VBZ VBN . ,RB PRP VBZ,-4.452527559411523,-2.414519295096329,True
7,She often has helped.,False,PRP RB VBZ VBN . ,RB VBZ VBN,-6.402567021899048,-4.15111451112665,True
8,They live in the house white.,False,PRP VBP IN DT NN JJ . ,DT NN JJ,-7.638082119355893,-4.50472424169508,True
9,Can you lend me a ball of tennis?,False,MD PRP VB PRP DT NN IN NN . ,NN IN NN,-9.386459770826646,-20.89446322221933,False
10,The Club of Bridge of the University of Cambridge.,False,DT NNP IN NNP IN DT NNP IN NNP . ,NNP IN NNP,-11.809861197039172,-9.36850373259632,True
11,They gave to Sam the book.,False,PRP VBD IN NNP DT NN . ,IN NNP DT,-9.250858323428105,-7.42887753369425,True
12,They gave the book to Sam.,True,PRP VBD DT NN IN NNP . ,IN NNP .,-5.798914011610751,-5.2047034255687805,False
13,They took to the hospital her mother.,False,PRP VBD IN DT NN PRP$ NN . ,NN PRP$ NN,-8.43363883102131,-7.606834385206555,True
14,Mrs Smith speaks very well English.,False,NNP NNP VBZ RB RB NNP . ,RB RB NNP,-11.162157483062146,-12.456612998399287,False
15,Keep tidy Britain.,False,VB JJ NNP . ,VB JJ NNP,-5.083416177836073,-5.255933835010255,False
16,John has bought the books?,True,NNP VBZ VBN DT NNS . ,NNP VBZ VBN,-6.296029478336099,-4.804615627657,False
17,Has bought the books John?,False,VBZ VBN DT NNS NNP .,VBZ VBN DT,-10.39714770244025,-7.531382788908562,True
18,Mary came?,True,NNP VBD . ,NNP VBD .,-3.907888289685737,-5.518581463621182,True
19,When Mary came?,False,WRB NNP VBD . ,WRB NNP VBD,-2.1806325762346352,-4.358122792158542,False
20,Came Mary?,False,VBD NNP . ,VBD NNP .,-3.2156632468948634,-2.5035668509793894,True
21,"Mary, when came?",False,"NNP , WRB VBD . ",WRB VBD .,-9.634268913916095,-9.892038929042355,False
22,Who did kill Oswald?,False,WP VBD VB NNP . ,VBD VB NNP,-9.224787829639084,-18.11235869373298,False
23,Who Oswald killed?,False,WP NNP VBD . ,WP NNP VB,-3.0455317152225976,-3.318597826099219,False
24,Who killed to Kennedy?,False,WP VBD IN NNP . ,IN NNP .,-4.047340217879418,-3.3743954652387598,True
25,Who Kennedy killed?,False,WP NNP VBD . ,WP NNP VBD,-3.0455317152225976,-3.318597826099219,False
26,Did they went?,False,VBD PRP VBD . ,VBD PRP VBD,-2.818950000495484,-2.8907579851594085,False
27,Do they went?,False,VBP PRP VBD . ,VBP PRP VBD,-4.242488593956196,-4.40707678719752,False
28,Do she goes?,False,VBP PRP VBZ . ,VBP PRP VBZ,-2.2419341188701627,-2.1328269187054283,True
29,Does she goes?,False,VBZ PRP VBZ . ,VBZ . _,-3.3810599645457167,-2.8407738702576886,True
30,"They're coming tomorrow, no?",False,"PRP VBP VBG NN , UH . ",UH . _,-13.234065808068134,-15.346713469513748,False
31,"You have a car, no?",False,"PRP VBP DT NN , UH . ",", UH .",-10.80280586060064,-11.022222606927192,False
32,Peter not found the key.,False,NNP RB VBD DT NN . ,RB VBD DT,-4.065274538279058,-5.154870878145617,False
33,Peter not has found the key.,False,NNP RB VBZ VBN DT NN . ,RB VBZ VBN,-8.087587526937245,-5.045548871091109,True
34,I no understand.,False,PRP RB VBP . ,RB VBP .,-0.7695041906104718,-1.1469267701142318,False
35,Those no.,False,DT UH . ,DT UH .,-3.0328426265715422,-0.3924829894767338,True
