,sentence,correct,error_type,tags,tags_trigram,poss,poss_trigram,en,es
0,The firemen arrived ten minutes later.,True,_,DT NNS VBD CD NNS RB . ,DT NNS VBD,DET NOUN VERB NUM NOUN ADV PUNCT ,DET NOUN VERB,-10.690903515950664,-12.074775774417304
1,Arrived the firemen ten minutes later.,False,W,VBD DT NNS CD NNS RB . ,VBD DT NNS,VERB DET NOUN NUM NOUN ADV PUNCT ,VERB DET NOUN,-12.08769571523856,-11.203490324183228
2,Yesterday played very well the children.,False,W,NN VBD RB RB DT NNS . ,VBD RB RB,NOUN VERB ADV ADV DET NOUN PUNCT ,VERB ADV ADV,-7.403868388361236,-7.779156218293943
3,Played very well the children yesterday.,False,W,VBN RB RB DT NNS NN . ,VBN RB RB,VERB ADV ADV DET NOUN NOUN PUNCT ,VERB ADV ADV,-8.374594833890072,-9.158400809917312
4,The children played very well yesterday.,True,_,DT NNS VBD RB RB NN . ,DT NNS VBD,DET NOUN VERB ADV ADV NOUN PUNCT ,DET NOUN VERB,-10.10643341907065,-12.459636541556371
5,Often she has helped.,False,W,RB PRP VBZ VBN . ,RB PRP VBZ,ADV PRON VERB VERB PUNCT ,ADV PRON VERB,-1.2633949668656932,-3.387826128313643
6,She often has helped.,False,W,PRP RB VBZ VBN . ,RB VBZ VBN,PRON ADV VERB VERB PUNCT ,PRON ADV VERB,-2.4828873810090526,-3.863148901164152
7,They live in the house white.,False,W,PRP VBP IN DT NN JJ . ,NN JJ .,PRON VERB ADP DET NOUN ADJ PUNCT ,NOUN ADJ PUNCT,-8.731202693902581,-3.6261644569841343
8,Can you lend me a ball of tennis?,False,UT,MD PRP VB PRP DT NN IN NN . ,NN IN NN,VERB PRON VERB PRON DET NOUN ADP NOUN PUNCT ,NOUN ADP NOUN,-10.681019764854486,-12.478651791168224
9,The Club of Bridge of the University of Cambridge.,False,UT,DT NNP IN NNP IN DT NNP IN NNP . ,NNP IN NNP,DET PROPN ADP PROPN ADP DET PROPN ADP PROPN PUNCT ,PROPN ADP PROPN,-11.300757874757856,-9.626954722498896
10,They gave to Sam the book.,False,W,PRP VBD IN NNP DT NN . ,IN NNP DT,PRON VERB ADP PROPN DET NOUN PUNCT ,ADP PROPN DET,-10.517011394735432,-8.687396835718106
11,They gave the book to Sam.,True,_,PRP VBD DT NN IN NNP . ,IN NNP .,PRON VERB DET NOUN ADP PROPN PUNCT ,ADP PROPN PUNCT,-6.106163793568777,-5.215766789211216
12,They took to the hospital her mother.,False,W,PRP VBD IN DT NN PRP$ NN . ,NN PRP$ NN,PRON VERB ADP DET NOUN DET NOUN PUNCT ,NOUN DET NOUN,-8.910499311349236,-7.269548295049864
13,Mrs Smith speaks very well English.,False,W,NNP NNP VBZ RB RB NNP . ,RB RB NNP,PROPN PROPN VERB ADV ADV PROPN PUNCT ,ADV ADV PROPN,-11.071463144079994,-14.091976428869236
14,Keep tidy Britain.,False,W,VB JJ NNP . ,VB JJ NNP,VERB ADJ PROPN PUNCT ,VERB ADJ PROPN,-5.229837109511058,-6.074037074620156
15,John has bought the books?,True,_,NNP VBZ VBN DT NNS . ,NNP VBZ VBN,PROPN VERB VERB DET NOUN PUNCT ,PROPN VERB VERB,-3.52934483152465,-4.096329794963473
16,Has bought the books John?,False,W,VBZ VBN DT NNS NNP . ,VBZ VBN DT,VERB VERB DET NOUN PROPN PUNCT ,VERB VERB DET,-8.4388301915697,-5.542331809000459
17,Mary came?,True,_,NNP VBD . ,NNP VBD .,PROPN VERB PUNCT ,PROPN VERB PUNCT,-3.329804179785469,-3.3867431929098424
18,When Mary came?,False,W,WRB NNP VBD . ,WRB NNP VBD,ADV PROPN VERB PUNCT ,ADV PROPN VERB,-1.3533034841983091,-2.3082480405418733
19,Came Mary?,False,W,VBD NNP . ,VBD NNP .,VERB PROPN PUNCT ,VERB PROPN PUNCT,-2.056317050247114,-0.9506649673144474
20,"Mary, when came?",False,W,"NNP , WRB VBD . ",WRB VBD .,PROPN PUNCT ADV VERB PUNCT ,ADV VERB PUNCT,-4.950157403244352,-5.286461815897201
21,Who did kill Oswald?,False,UV,WP VBD VB NNP . ,VBD VB NNP,PRON VERB VERB PROPN PUNCT ,VERB VERB PROPN,-6.206721290835413,-8.937423243760001
22,Who Oswald killed?,False,MV,WP NNP VBD . ,WP NNP VB,PRON PROPN VERB PUNCT ,PRON PROPN VERB,-1.2476009708240663,-1.3662830006066917
23,Who killed to Kennedy?,False,UT,WP VBD IN NNP . ,VBD IN NNP,PRON VERB ADP PROPN PUNCT ,VERB ADP PROPN,-4.8379178631798565,-4.064052446043009
24,Who Kennedy killed?,False,W,WP NNP VBD . ,WP NNP VBD,PRON PROPN VERB PUNCT ,PRON PROPN VERB,-1.2476009708240663,-1.3662830006066917
25,Did they went?,False,TV,VBD PRP VBD . ,VBD PRP VBD,VERB PRON VERB PUNCT ,VERB PRON VERB,-1.323472383383713,-2.406691823334263
26,Do they went?,False,TV,VBP PRP VBD . ,VBP PRP VBD,VERB PRON VERB PUNCT ,VERB PRON VERB,-1.323472383383713,-2.406691823334263
27,Do she goes?,False,AGV,VBP PRP VBZ . ,VBP PRP VBZ,VERB PRON VERB PUNCT ,VERB PRON VERB,-1.323472383383713,-2.406691823334263
28,Does she goes?,False,AGV,VBZ PRP VBZ . ,VBZ . _,VERB PRON VERB PUNCT ,VERB PUNCT _,-1.323472383383713,-2.406691823334263
29,"They're coming tomorrow, no?",False,_,"PRP VBP VBG NN , UH . ",UH . _,PRON VERB VERB NOUN PUNCT INTJ PUNCT ,INTJ PUNCT _,-13.48574359991063,-17.67707572740594
30,"You have a car, no?",False,_,"PRP VBP DT NN , UH . ",", UH .",PRON VERB DET NOUN PUNCT INTJ PUNCT ,PUNCT INTJ PUNCT,-12.143754003640442,-13.400215138400348
31,Peter not found the key.,False,X,NNP RB VBD DT NN . ,RB VBD DT,PROPN ADV VERB DET NOUN PUNCT ,ADV VERB DET,-2.763089876437709,-2.7554189652614793
32,Peter not has found the key.,False,X,NNP RB VBZ VBN DT NN . ,RB VBZ VBN,PROPN ADV VERB VERB DET NOUN PUNCT ,ADV VERB VERB,-5.415614457086017,-5.098677206532602
33,Those no.,False,X,DT UH . ,DT UH .,DET INTJ PUNCT ,DET INTJ PUNCT,-1.059772455351846,-0.2531958963806117
