,sentence,correct,tags,tags_trigram,poss,poss_trigram,en,es,model_result
0,The firemen arrived ten minutes later.,True,DT NNS VBD CD NNS RB . ,DT NNS VBD,DET NOUN VERB NUM NOUN ADV PUNCT ,DET NOUN VERB,-9.534915809444048,-10.367623209969544,True
1,Arrived the firemen ten minutes later.,False,VBD DT NNS CD NNS RB . ,VBD DT NNS,VERB DET NOUN NUM NOUN ADV PUNCT ,VERB DET NOUN,-8.98674750173187,-8.53098439294516,True
2,Yesterday played very well the children.,False,NN VBD RB RB DT NNS . ,VBD RB RB,NOUN VERB ADV ADV DET NOUN PUNCT ,VERB ADV ADV,-7.419869394156088,-7.9190069122468305,False
3,Played very well the children yesterday.,False,VBN RB RB DT NNS NN . ,VBN RB RB,VERB ADV ADV DET NOUN NOUN PUNCT ,VERB ADV ADV,-8.026982675702879,-8.078602283726902,False
4,Yesterday the children played very well.,True,NN DT NNS VBD RB RB . ,DT NNS VBD,NOUN DET NOUN VERB ADV ADV PUNCT ,DET NOUN VERB,-7.859198286451055,-7.855605906708315,False
5,The children played very well yesterday.,True,DT NNS VBD RB RB NN . ,DT NNS VBD,DET NOUN VERB ADV ADV NOUN PUNCT ,DET NOUN VERB,-9.599832589871845,-11.271557478954833,True
6,Often she has helped.,False,RB PRP VBZ VBN . ,RB PRP VBZ,ADV PRON VERB VERB PUNCT ,ADV PRON VERB,-1.243804497830667,-3.080115396172573,False
7,She often has helped.,False,PRP RB VBZ VBN . ,RB VBZ VBN,PRON ADV VERB VERB PUNCT ,PRON ADV VERB,-2.4397214395359184,-3.866818693529777,False
8,They live in the house white.,False,PRP VBP IN DT NN JJ . ,NN JJ .,PRON VERB ADP DET NOUN ADJ PUNCT ,NOUN ADJ PUNCT,-6.606224614853118,-3.5230101788239474,True
9,Can you lend me a ball of tennis?,False,MD PRP VB PRP DT NN IN NN . ,NN IN NN,VERB PRON VERB PRON DET NOUN ADP NOUN PUNCT ,NOUN ADP NOUN,-9.920480612764338,-11.195145789196724,False
10,The Club of Bridge of the University of Cambridge.,False,DT NNP IN NNP IN DT NNP IN NNP . ,NNP IN NNP,DET PROPN ADP PROPN ADP DET PROPN ADP PROPN PUNCT ,PROPN ADP PROPN,-11.338302559839518,-9.720956772848826,True
11,They gave to Sam the book.,False,PRP VBD IN NNP DT NN . ,IN NNP DT,PRON VERB ADP PROPN DET NOUN PUNCT ,ADP PROPN DET,-9.934461112132755,-8.176563479268388,True
12,They gave the book to Sam.,True,PRP VBD DT NN IN NNP . ,IN NNP .,PRON VERB DET NOUN ADP PROPN PUNCT ,ADP PROPN PUNCT,-5.661410832344396,-4.896281532266261,False
13,They took to the hospital her mother.,False,PRP VBD IN DT NN PRP$ NN . ,NN PRP$ NN,PRON VERB ADP DET NOUN DET NOUN PUNCT ,NOUN DET NOUN,-8.160846763750103,-5.366903048875108,True
14,Mrs Smith speaks very well English.,False,NNP NNP VBZ RB RB NNP . ,RB RB NNP,PROPN PROPN VERB ADV ADV PROPN PUNCT ,ADV ADV PROPN,-10.013778635531592,-12.570196435320414,False
15,Keep tidy Britain.,False,VB JJ NNP . ,VB JJ NNP,VERB ADJ PROPN PUNCT ,VERB ADJ PROPN,-4.615046594025356,-5.429758694661468,False
16,John has bought the books?,True,NNP VBZ VBN DT NNS . ,NNP VBZ VBN,PROPN VERB VERB DET NOUN PUNCT ,PROPN VERB VERB,-3.595931548994337,-4.20014926168232,True
17,Has bought the books John?,False,VBZ VBN DT NNS NNP . ,VBZ VBN DT,VERB VERB DET NOUN PROPN PUNCT ,VERB VERB DET,-5.957041297404575,-3.9473642806283684,True
18,Mary came?,True,NNP VBD . ,NNP VBD .,PROPN VERB PUNCT ,PROPN VERB PUNCT,-3.1724695612108085,-3.331472257049941,True
19,When Mary came?,False,WRB NNP VBD . ,WRB NNP VBD,ADV PROPN VERB PUNCT ,ADV PROPN VERB,-1.4196006159999557,-2.3827495751653176,False
20,Came Mary?,False,VBD NNP . ,VBD NNP .,VERB PROPN PUNCT ,VERB PROPN PUNCT,-2.116314536919337,-1.0272743080247009,True
21,"Mary, when came?",False,"NNP , WRB VBD . ",WRB VBD .,PROPN PUNCT ADV VERB PUNCT ,ADV VERB PUNCT,-4.699262569681545,-4.914210363629619,False
22,Who did kill Oswald?,False,WP VBD VB NNP . ,VBD VB NNP,PRON VERB VERB PROPN PUNCT ,VERB VERB PROPN,-5.022693972817797,-7.670321122661643,False
23,Who Oswald killed?,False,WP NNP VBD . ,WP NNP VB,PRON PROPN VERB PUNCT ,PRON PROPN VERB,-1.3134162258125093,-1.4418554679352438,False
24,Who killed to Kennedy?,False,WP VBD IN NNP . ,VBD IN NNP,PRON VERB ADP PROPN PUNCT ,VERB ADP PROPN,-4.4559244696168845,-3.783611959006362,True
