,incorrect_trigram_tags,correct_trigram_tags,count
224,IN DT NN,IN DT NN,171
377,IN PRP$ NN,IN PRP$ NN,58
669,NN IN DT,NN IN DT,50
1395,VB DT NN,VB DT NN,46
638,NN . _,NN . _,38
339,IN NNP IN,IN NNP IN,32
1004,PRP MD VB,", PRP MD",27
263,IN DT NNS,IN DT NNS,26
694,NN IN NN,NN IN NN,24
1905,VBP TO VB,VBD TO VB,24
1426,VB IN DT,VB IN DT,23
473,JJ IN DT,JJ IN DT,23
784,NN TO VB,NN TO VB,22
511,JJ NN IN,JJ NN IN,21
531,JJ TO VB,JJ TO VB,19
1489,VB PRP$ NN,VB PRP$ NN,18
1019,PRP MD VB,PRP MD VB,17
458,JJ . _,JJ . _,17
573,MD VB IN,MD VB IN,17
610,"NN , IN","DT NN ,",15
721,NN IN NNS,NN IN NNS,14
675,NN IN DT,NNS IN DT,14
1664,VBG DT NN,VBG DT NN,14
357,IN PRP .,IN PRP .,14
565,MD VB DT,MD VB DT,14
1204,RB JJ .,RB JJ .,13
612,"NN , IN","NN , IN",13
349,"IN PRP ,","IN PRP ,",13
1795,VBN TO VB,VBN TO VB,13
310,IN NN IN,IN NN IN,12
710,NN IN NNP,NN IN NNP,12
1996,VBZ RB JJ,PRP VBZ RB,12
899,"NNS , IN","NN , IN",12
591,MD VB TO,MD VB TO,11
1546,VBD DT NN,VBD DT NN,11
1813,VBP DT NN,VBD DT NN,11
640,NN . _,NNS . _,10
392,IN PRP$ NNS,IN PRP$ NNS,10
722,NN IN NNS,NNS IN NNS,10
1589,VBD PRP$ NN,VBD PRP$ NN,9
1169,RB . _,RB . _,9
1065,PRP VBP IN,", PRP VBP",9
811,NN VBZ IN,NN VBZ IN,8
1121,PRP$ NN .,IN PRP$ NN,8
1469,VB PRP DT,VB PRP DT,8
1685,VBG IN PRP$,VBG IN PRP$,8
742,NN NN IN,DT NN NN,8
1726,VBG TO VB,VBG TO VB,8
496,"JJ NN ,","JJ NN ,",8
1903,VBP TO VB,MD VB TO,8
218,IN DT NN,DT NN IN,8
766,NN NNS IN,NN NN IN,7
651,NN CC DT,NN CC DT,7
633,NN . _,DT NN .,7
409,IN TO VB,TO VB IN,7
245,IN DT NN,VBG DT NN,7
1139,PRP$ NN RB,PRP PRP$ NN,7
1188,RB IN DT,RB IN DT,7
1200,"RB JJ ,","RB JJ ,",7
208,IN DT NN,", IN DT",7
1674,VBG IN NN,VBG IN NN,7
2032,WDT VBZ DT,", WDT VBZ",7
1908,VBP TO VB,VBP TO VB,7
1240,RB RB DT,", RB RB",7
588,MD VB RB,MD VB RB,6
738,NN MD VB,NN MD VB,6
1511,VB TO VB,VB TO VB,6
662,NN IN DT,DT NN IN,6
629,NN . IN,NN . IN,6
1814,VBP DT NN,VBP DT NN,6
492,"JJ NN ,",DT JJ NN,6
1494,VB PRP$ NNS,VB PRP$ NNS,6
1817,VBP DT NN,VBZ DT NN,6
372,IN PRP$ NN,", IN PRP$",6
360,IN PRP CC,IN PRP CC,6
2023,WDT NN IN,WP NN IN,6
739,NN MD VB,NNS MD VB,6
1216,RB MD VB,MD RB VB,6
1053,PRP VBD IN,", PRP VBD",6
1162,RB . _,. _ _,6
945,NNS NNS IN,JJ NNS IN,6
1394,VB DT NN,TO VB DT,6
1345,TO VB IN,VBG IN DT,6
2022,WDT NN IN,WDT NN IN,5
1974,VBZ JJ TO,PRP VBZ JJ,5
299,IN JJ NN,IN JJ NN,5
436,"JJ , DT","JJ , DT",5
1608,VBD TO VB,VBD TO VB,5
2064,_ _ _,. _ _,5
507,JJ NN IN,DT JJ NN,5
215,IN DT NN,DT NN .,5
114,DT NN CC,DT NN CC,5
602,"NN , DT","DT NN ,",5
632,NN . _,. _ _,5
1656,VBG DT NN,", VBG DT",5
1610,VBD TO VB,VBP TO VB,5
1034,PRP TO VB,IN PRP TO,5
910,NNS CC DT,NN CC DT,5
1540,VBD DT NN,DT NN VBD,5
1431,VB IN DT,VBG IN DT,5
795,NN VBD JJ,NN VBD JJ,5
792,NN VBD IN,NN VBD IN,5
1598,VBD RB DT,VBD RB DT,4
368,IN PRP VBZ,", IN PRP",4
451,JJ . IN,JJ . IN,4
783,NN TO VB,DT NN TO,4
420,IN VBG IN,IN VBG IN,4
413,IN TO VB,TO VB PRP$,4
1829,VBP IN PRP$,VBD IN PRP$,4
1342,TO VB IN,VB IN DT,4
1949,VBZ DT NN,DT NN VBZ,4
1146,"PRP$ RB ,","PRP$ RB ,",4
1956,VBZ IN DT,PRP VBZ IN,4
1461,VB NN IN,VB NN IN,4
1952,VBZ DT NN,VBP DT NN,4
1131,PRP$ NN IN,IN PRP$ NN,4
1330,TO VB DT,VBG DT NN,4
1267,RB VBD RB,RB VBD RB,4
243,IN DT NN,TO VB IN,4
230,IN DT NN,PRP IN DT,4
2050,WRB PRP VBD,", WRB PRP",4
1410,VB DT NNS,VB DT NNS,4
455,JJ . RB,JJ . RB,4
1480,VB PRP RB,VBG PRP RB,4
1550,VBD DT NN,VBP DT NN,4
758,NN NN RB,DT NN NN,4
1013,PRP MD VB,MD PRP VB,4
652,NN CC DT,NNS CC DT,4
1545,VBD DT NN,VB DT NN,4
1661,VBG DT NN,TO VB DT,4
1406,VB DT NN,VBG DT NN,4
194,IN CD NNS,IN CD NNS,4
1050,PRP VBD DT,EX VBD DT,4
619,"NN , RB","NN , RB",4
1694,VBG NN IN,VBG NN IN,4
1710,VBG PRP$ NN,IN VBG PRP$,4
995,PRP . _,IN PRP .,4
599,NN '' IN,`` IN DT,4
1711,VBG PRP$ NN,TO VB PRP$,4
926,NNS IN NNP,NNS IN NNP,4
948,NNS PRP VBP,NN PRP VBP,4
1747,VBN . _,VBN . _,4
1756,VBN DT NN,VB DT NN,4
1764,VBN IN NN,VBN IN NN,4
1766,VBN IN NNP,VBN IN NNP,4
749,NN NN IN,NN NN IN,4
1787,VBN PRP$ NN,VBN PRP$ NN,4
