,english,spanish,en_poss,en_tags,es_poss,es_tags
0,in  johnson was awarded an american institute of architects gold medal in  he became the first recipient of the pritzker architecture prize the most prestigious international architectural award,en navidad de  poco después de que interpretó la canción en francés película papillon toi qui regarde la mer ella cantará la espléndida versión de gloria aleluya para una misa de medianoche celebrada por rtl,ADP SPACE NOUN VERB VERB DET ADJ NOUN ADP NOUN NOUN NOUN ADP SPACE PRON VERB DET ADJ NOUN ADP DET NOUN NOUN NOUN DET ADV ADJ ADJ ADJ NOUN ,IN _SP NN VBD VBN DT JJ NN IN NNS NN NN IN _SP PRP VBD DT JJ NN IN DT NN NN NN DT RBS JJ JJ JJ NN ,ADP NOUN ADP SPACE ADV ADV ADP SCONJ VERB DET NOUN ADP NOUN NOUN ADJ NOUN PROPN PUNCT DET NOUN PRON VERB DET ADJ NOUN ADP NOUN DET ADP DET NOUN ADP NOUN ADJ ADP NOUN ,IN NN IN _SP RB RB IN IN VBD DT NN IN NN NN JJ NNP NNP . DT NN PRP MD VB DT JJ NN IN NN DT IN DT NN IN NN JJ IN NN 
1,bussy-saint-georges has built its identity on a green model environment with parks and gardens they represent  hectares of integrated green spaces  kilometres  miles of soft connecting links  squares and parks in the city centre  pools and more than  trees today,según el censo de []​ había  personas residiendo en el municipio de homer la densidad de población era de  habkm² de los  habitantes el municipio de homer estaba compuesto por el   blancos el   eran afroamericanos el   eran de otras razas y el   eran de una mezcla de razas del total de la población el   eran hispanos o latinos de cualquier raza[]​,ADJ PUNCT NOUN PUNCT PROPN VERB VERB DET NOUN ADP DET ADJ NOUN NOUN ADP NOUN CCONJ NOUN PRON VERB SPACE NOUN ADP VERB ADJ NOUN SPACE NOUN SPACE NOUN ADP ADJ VERB NOUN SPACE NOUN CCONJ NOUN ADP DET NOUN NOUN SPACE NOUN CCONJ ADJ ADP SPACE NOUN NOUN ,JJ HYPH NN HYPH NNP VBZ VBN PRP$ NN IN DT JJ NN NN IN NNS CC NNS PRP VBP _SP NNS IN VBN JJ NNS _SP NNS _SP NNS IN JJ VBG NNS _SP NNS CC NNS IN DT NN NN _SP NNS CC JJR IN _SP NNS NN ,ADP DET NOUN ADP NOUN NOUN PROPN AUX SPACE NOUN VERB ADP DET NOUN ADP NOUN DET NOUN ADP NOUN AUX ADP SPACE ADJ ADP DET SPACE NOUN DET NOUN ADP NOUN AUX ADJ ADP DET SPACE ADJ DET SPACE AUX ADJ DET SPACE AUX ADP DET NOUN CCONJ DET SPACE AUX ADP DET NOUN ADP NOUN ADP NOUN ADP DET NOUN DET SPACE AUX ADJ CCONJ NOUN ADP DET NOUN ,IN DT NN IN NN NNP NNP VBD _SP NNS VBG IN DT NN IN NN DT NN IN NN VBD IN _SP JJ IN DT _SP NNS DT NN IN NN VBD JJ IN DT _SP JJ DT _SP VBD JJ DT _SP VBD IN DT NNS CC DT _SP VBD IN DT NN IN NNS IN NN IN DT NN DT _SP VBD JJ CC NNS IN DT NN 
2,minnesotas state parks are spread across the state in such a way that there is a state park within  miles  km of every minnesotan the most recent park created is lake vermilion state park created in  currently the parks range in size from franz jevne state park with  acres  ha to saint croix state park with  acres  ha two parks include resources listed as national natural landmarks big bog state recreation area and itasca state park and six parks encompass national historic landmarks charles a lindbergh fort snelling mille lacs kathio st croix soudan underground mine and split rock lighthouse state parks  sites or districts across  minnesota state parks are on the national register of historic places nrhp including  parks with developments constructed by new deal-era job creation programs in the s,en la copa mundial de fútbol sub- de  pitó los partidos argentina vs méxico colombia vs malí de la primera fase en octavos de final pitó el partido brasil vs arabia saudita,VERB NOUN NOUN VERB VERB ADP DET NOUN ADP DET DET NOUN ADP ADV VERB DET NOUN NOUN ADP SPACE NOUN SPACE NOUN ADP DET NOUN DET ADV ADJ NOUN VERB VERB NOUN NOUN NOUN NOUN VERB ADP SPACE ADV DET NOUN VERB ADP NOUN ADP NOUN NOUN NOUN NOUN ADP SPACE NOUN SPACE INTJ ADP NOUN NOUN NOUN NOUN ADP SPACE NOUN SPACE INTJ NUM NOUN VERB NOUN VERB ADP ADJ ADJ NOUN ADJ NOUN NOUN NOUN NOUN CCONJ NOUN NOUN NOUN CCONJ NUM NOUN VERB ADJ ADJ NOUN VERB DET X X NOUN X NOUN NOUN NOUN NOUN VERB ADJ NOUN CCONJ VERB NOUN NOUN NOUN NOUN SPACE NOUN CCONJ NOUN ADP SPACE NOUN NOUN NOUN VERB ADP DET ADJ NOUN ADP ADJ NOUN NOUN VERB SPACE NOUN ADP NOUN VERB ADP ADJ NOUN PUNCT NOUN NOUN NOUN NOUN ADP DET NOUN ,VBZ NN NNS VBP VBN IN DT NN IN PDT DT NN IN EX VBZ DT NN NN IN _SP NNS _SP NNS IN DT NN DT RBS JJ NN VBN VBZ NN NN NN NN VBN IN _SP RB DT NNS VBP IN NN IN NN NNS NN NN IN _SP NNS _SP UH IN NN NN NN NN IN _SP NNS _SP UH CD NNS VBP NNS VBN IN JJ JJ NNS JJ NN NN NN NN CC NN NN NN CC CD NNS VBP JJ JJ NNS VBZ DT FW FW NN FW NN NN NN NN VB JJ NN CC VBD NN NN NN NNS _SP NNS CC NNS IN _SP NN NN NNS VBP IN DT JJ NN IN JJ NNS NNS VBG _SP NNS IN NNS VBN IN JJ NN HYPH NN NN NN NNS IN DT NN ,ADP DET NOUN ADJ ADP NOUN NOUN ADP SPACE VERB DET NOUN ADJ VERB NOUN ADJ VERB NOUN ADP DET ADJ NOUN ADP NOUN ADP NOUN VERB DET NOUN ADJ VERB NOUN ADJ ,IN DT NN JJ IN NN NNP IN _SP VBD DT NNS JJ VBD NN JJ VBD NN IN DT JJ NN IN NNS IN NN VBD DT NN JJ VBD NN JJ 
3,nordahl road is a station served by north county transit districts sprinter light rail line it straddles the city limits of san marcos and escondido california with its mailing address in escondido the station is located between barham drive and auto park waynordahl road both of which intersect east mission road it consists of a single platform and track,ally y buttons encuentran el descodificador y ally se pone a descodificar códigos ally y chen pelean por el control del gigantor en el último piso de la torre de hierro gaff el capitán magnum y marty pelean contra el general entonces cuando el general ha vencido a todos menos a marty este consigue derrotarle el solo al mismo tiempo ally vence al doctor chen en la lucha por el control del gigantor y este huye después aparecen marty y buttons en el remolque con charly marty se acuerda que ese día era la conferencia de ally en el cdf la serie termina con la foto de todos juntos en el cdf,X NOUN VERB DET NOUN VERB ADP NOUN NOUN NOUN NOUN NOUN ADJ NOUN NOUN PRON VERB DET NOUN NOUN ADP X X CCONJ NOUN PROPN ADP DET NOUN NOUN ADP NOUN DET NOUN VERB VERB ADP NOUN NOUN CCONJ NOUN NOUN NOUN NOUN DET ADP DET ADJ ADJ NOUN NOUN PRON VERB ADP DET ADJ NOUN CCONJ NOUN ,FW NN VBZ DT NN VBN IN NN NN NN NNS NN JJ NN NN PRP VBZ DT NN NNS IN FW FW CC NN NNP IN PRP$ NN NN IN NN DT NN VBZ VBN IN NN NN CC NN NN NN NN DT IN WDT JJ JJ NN NN PRP VBZ IN DT JJ NN CC NN ,VERB CCONJ PROPN VERB DET NOUN CCONJ ADV PRON VERB ADP VERB NOUN VERB CCONJ ADJ VERB ADP DET NOUN ADP NOUN ADP DET ADJ NOUN ADP DET NOUN ADP NOUN VERB DET NOUN ADJ CCONJ ADJ VERB ADP DET NOUN ADV PRON DET NOUN AUX VERB ADP PRON ADV ADP NOUN DET VERB NOUN DET ADJ ADP DET NOUN ADJ VERB ADP NOUN ADJ ADP DET NOUN ADP DET NOUN ADP NOUN CCONJ DET VERB ADV VERB NOUN CCONJ NOUN ADP DET NOUN ADP NOUN ADJ PRON VERB SCONJ DET NOUN AUX DET NOUN ADP ADV ADP DET NOUN DET NOUN VERB ADP DET NOUN ADP PRON ADJ ADP DET NOUN ,VBD CC NNP VBP DT NN CC RB PRP VBZ IN TO VB NNS VBD CC JJ VBP IN DT NN IN NN IN DT JJ NN IN DT NN IN NN TO VB DT NN JJ CC JJ VBP IN DT NN RB DT DT NN VBZ VBN IN DT RB IN NNP DT VBZ NN DT JJ IN DT NN JJ VBZ IN NN JJ IN DT NN IN DT NN IN NN CC DT VBZ RB VBP NN CC NN IN DT NN IN NN JJ PRP VBZ IN DT NN VBD DT NN IN RB IN DT NN DT NN VBZ IN DT NN IN DT JJ IN DT NN 
4,a talk by takis fotopoulos about the internationalization of the capitalist market economy and the project of inclusive democracy a talk given by takis fotopoulos at the university of vermont in  followed by a discussion in which murray bookchin dan chodorkoff and others take part video in  parts retrieved  january ,los primeros habitantes se establecieron cerca de  siendo un grupo de mixtecas zapotecas otomíes y olmecas tras la conquista de méxico la población fue encargada a sebastián y luisa narvaes se estableció como patrono a san andrés a quién se le creó una escultura en el siglo xvi el  de febrero de  el virrey luis de velasco y ruiz de alarcón otorgó un título en reconocimiento de las tierras comunales de los grupos originarios[]​,DET NOUN ADP NOUN NOUN ADP DET NOUN ADP DET ADJ NOUN NOUN CCONJ DET NOUN ADP ADJ NOUN DET NOUN VERB ADP NOUN NOUN ADP DET NOUN ADP NOUN ADP SPACE VERB ADP DET NOUN ADP DET NOUN X NOUN NOUN CCONJ NOUN VERB NOUN NOUN ADP SPACE NOUN VERB SPACE PROPN ,DT NN IN NNS NNS IN DT NN IN DT JJ NN NN CC DT NN IN JJ NN DT NN VBN IN NNS NNS IN DT NN IN NN IN _SP VBN IN DT NN IN WDT NN FW NN NN CC NNS VBP NN NN IN _SP NNS VBD _SP NNP ,DET ADJ NOUN PRON VERB ADV ADP SPACE AUX DET NOUN ADP NOUN ADJ ADJ CCONJ ADJ ADP DET NOUN ADP NOUN DET NOUN AUX VERB ADP NOUN CCONJ NOUN ADJ PRON VERB SCONJ NOUN ADP AUX VERB ADP PRON PRON PRON VERB DET NOUN ADP DET NOUN NOUN DET SPACE ADP NOUN ADP SPACE DET NOUN NOUN ADP NOUN CCONJ NOUN ADP NOUN VERB DET NOUN ADP NOUN ADP DET NOUN ADJ ADP DET NOUN ADJ ,DT JJ NNS PRP VBD RB IN _SP VBG DT NN IN NNS JJ JJ CC JJ IN DT NN IN NN DT NN VBD VBN IN NNP CC NN JJ PRP VBD IN NN IN VBP TO VB IN WP PRP PRP VBD DT NN IN DT NN NNP DT _SP IN NNP IN _SP DT NN NN IN NN CC NN IN NN VBD DT NN IN NN IN DT NNS JJ IN DT NNS JJ 
5,while running a campaign to elect his sister sherry martschink to lieutenant governor in  shealy with the help of robert kohn recruited unemployed black fisherman benjamin hunt jr to run for congress against republican arthur ravenel jr shealy sought to increase the turnout of white voters by playing to the racial fears of the south carolina electorate he promised hunt who had a prior drug arrest $ to run for congress and paid for his $ filing fee shealy paid for the fees with an unreported $ campaign contribution to his sister from laidlaw environmental services,serbia participará en los juegos olímpicos de parís  responsable del equipo olímpico es el comité olímpico de serbia así como las federaciones deportivas nacionales de cada deporte con participación,ADP VERB DET NOUN PART VERB DET NOUN NOUN NOUN ADP NOUN NOUN ADP SPACE X ADP DET NOUN ADP NOUN PROPN VERB ADJ ADJ NOUN NOUN NOUN NOUN PART VERB ADP NOUN ADP ADJ NOUN NOUN NOUN NOUN VERB PART VERB DET NOUN ADP ADJ NOUN ADP VERB ADP DET ADJ NOUN ADP DET ADJ NOUN NOUN PRON VERB NOUN PRON VERB DET ADJ NOUN NOUN SYM PART VERB ADP NOUN CCONJ VERB ADP DET SYM NOUN NOUN NOUN VERB ADP DET NOUN ADP DET ADJ SYM NOUN NOUN ADP DET NOUN ADP NOUN ADJ NOUN ,IN VBG DT NN TO VB PRP$ NN NN NN IN NN NN IN _SP XX IN DT NN IN NN NNP VBD JJ JJ NN NN NN NN TO VB IN NN IN JJ NN NN NN NN VBD TO VB DT NN IN JJ NNS IN VBG IN DT JJ NNS IN DT JJ NN NN PRP VBD NN WP VBD DT JJ NN NN $ TO VB IN NN CC VBD IN PRP$ $ NN NN NN VBN IN DT NNS IN DT JJ $ NN NN IN PRP$ NN IN NN JJ NNS ,ADJ VERB ADP DET NOUN ADJ ADP NOUN SPACE ADJ ADP NOUN ADJ AUX DET NOUN ADJ ADP NOUN ADV SCONJ DET NOUN ADJ ADJ ADP DET NOUN ADP NOUN ,JJ MD VB IN DT NNS JJ IN NNS _SP JJ IN NN JJ VBZ DT NN JJ IN NN RB IN DT NNS JJ JJ IN DT NN IN NN 
6,reynolds was born in wiesbaden germany where his father a career military man was stationed he says he hails from nowhere because the family moved so often his family lived many places including germany a farm in indiana an army base in alaska kansas and missouri where he lived longer than any other place until he was old enough to move away as an adult both parents were extremely devout christians and he says he grew up with christian music all around him however his older sister owned some albums from the beatles which he says even as a very young child he loved instantly playing air guitar to their music,los bitardos utilizan una faluche que es una gorra tradicional de los estudiantes de francia con cierto diseño y códigos característicos el faluche de los dignatarios bitardos está decorado con un chevrón junto con esta gorra los bitardos se ponen una capa cuyo color es indicativo de su rango dentro de la orden,PROPN VERB VERB ADP NOUN NOUN ADV DET NOUN DET NOUN ADJ NOUN VERB VERB PRON VERB PRON VERB ADP ADV ADP DET NOUN VERB ADV ADV DET NOUN VERB ADJ NOUN VERB VERB DET NOUN ADP NOUN DET NOUN NOUN ADP NOUN NOUN CCONJ PROPN ADV PRON VERB ADV ADP DET ADJ NOUN ADP PRON VERB ADJ ADV PART VERB ADV ADP DET NOUN DET NOUN VERB ADV ADJ NOUN CCONJ PRON VERB PRON VERB PART ADP ADJ NOUN ADV ADP PRON ADV DET ADJ NOUN VERB DET NOUN ADP DET NOUN DET PRON VERB ADV ADP DET ADV ADJ NOUN PRON VERB ADV VERB NOUN NOUN ADP DET NOUN ,NNP VBD VBN IN NN NN WRB PRP$ NN DT NN JJ NN VBD VBN PRP VBZ PRP VBZ IN RB IN DT NN VBD RB RB PRP$ NN VBD JJ NNS VBG VB DT NN IN NN DT NN NN IN NN NNS CC NNP WRB PRP VBD RBR IN DT JJ NN IN PRP VBD JJ RB TO VB RB IN DT NN DT NNS VBD RB JJ NNS CC PRP VBZ PRP VBD RP IN JJ NN RB IN PRP WRB PRP$ JJR NN VBD DT NNS IN DT NNS WDT PRP VBZ RB IN DT RB JJ NN PRP VBD RB VBG NN NN IN PRP$ NN ,DET NOUN VERB DET NOUN PRON AUX DET NOUN ADJ ADP DET NOUN ADP NOUN ADP DET NOUN CCONJ NOUN ADJ DET NOUN ADP DET NOUN ADJ AUX ADJ ADP DET NOUN ADJ ADP DET NOUN DET ADJ PRON VERB DET NOUN PRON NOUN AUX ADJ ADP DET NOUN ADV ADP DET NOUN ,DT NNS VBP DT NN DT VBZ DT NN JJ IN DT NNS IN NN IN DT NN CC NNS JJ DT NN IN DT NNS VBN VBZ JJ IN DT NN JJ IN DT NN DT VBN PRP VBP DT NN WP NN VBZ JJ IN PRP$ NN RB IN DT NN 
7,"since the days of the revolution a one-room stone schoolhouse had stood on a grassy area known as the common located close to the present intersection of south orange avenue and academy street in maplewood in  this building blocked the construction of a new toll highway from newark to morristown the  ""proprietors and associates"" of the school met on august  of that year and resolved to erect a new school building near the site of the old one naming seven trustees to thereafter oversee the education of local children the resolution reflected ""the desire of the meeting that the said school should in the future have the name of columbian school of south orange""",el general empieza a controlar al gigantor gracias al doctor chen pero uno de sus secuaces se rebela khan el robot que ahbía atacado a marty en la torre de hierro dice al general que el gigantor es un arma indigna e intenta atacar al doctor chen pero el general lo destruye,ADP DET NOUN ADP DET NOUN DET NUM PUNCT NOUN NOUN NOUN VERB VERB ADP DET ADJ NOUN VERB ADP DET ADJ VERB ADV ADP DET ADJ NOUN ADP ADJ NOUN NOUN CCONJ NOUN NOUN ADP NOUN ADP SPACE DET NOUN VERB DET NOUN ADP DET ADJ NOUN NOUN ADP NOUN PART VERB DET SPACE PUNCT NOUN CCONJ NOUN PUNCT ADP DET NOUN VERB ADP ADJ SPACE ADP DET NOUN CCONJ VERB PART VERB DET ADJ NOUN NOUN ADP DET NOUN ADP DET ADJ NUM VERB NUM NOUN PART ADV VERB DET NOUN ADP ADJ NOUN DET NOUN VERB PUNCT DET NOUN ADP DET NOUN ADP DET VERB NOUN VERB ADP DET NOUN VERB DET NOUN ADP ADJ NOUN ADP ADJ NOUN PUNCT ,IN DT NNS IN DT NN DT CD HYPH NN NN NN VBD VBN IN DT JJ NN VBN IN DT JJ VBN RB IN DT JJ NN IN JJ NN NN CC NN NN IN NN IN _SP DT NN VBD DT NN IN DT JJ NN NN IN NN TO VB DT _SP `` NNS CC NNS '' IN DT NN VBD IN JJ _SP IN DT NN CC VBD TO VB DT JJ NN NN IN DT NN IN DT JJ CD VBG CD NNS TO RB VB DT NN IN JJ NNS DT NN VBD `` DT NN IN DT NN IN DT VBN NN MD IN DT NN VBP DT NN IN JJ NN IN JJ NN '' ,DET NOUN AUX ADP VERB ADP NOUN NOUN ADP NOUN ADJ CCONJ PRON ADP DET NOUN PRON VERB VERB DET NOUN PRON VERB ADJ ADP NOUN ADP DET NOUN ADP NOUN VERB ADP NOUN SCONJ DET NOUN AUX DET NOUN ADJ CCONJ VERB VERB ADP NOUN ADJ CCONJ DET NOUN PRON VERB ,DT NN VBZ IN TO VB IN NN NNP IN NN JJ CC DT IN PRP$ NNS PRP VBZ VBP DT NN DT VBD JJ IN NNP IN DT NN IN NN VBZ IN NN IN DT NN VBZ DT NN JJ CC VBZ TO VB IN NN JJ CC DT NN PRP VBZ 
8,"obreption and subreption both from the latin word reporeptum genitive meaning to creep or crawl the prefix ob- means ""towards against or in the way of"" sub- means ""under or close to"" are terms used in ancient roman law and in the canon law applied by the catholic church to species of fraud by which an ecclesiastical rescript is obtained",hay una diferencia en las tasas de divorcio observadas entre los distintos tipos de matrimonios arreglados las tasas de divorcio en los países islámicos con matrimonios consanguíneos arreglados como arabia saudita turquía egipto qatar jordania es de entre  a []​ en contraste con el menos del  de las tasas de divorcio en matrimonios arreglados no consanguíneos entre los amish hindúes y judíos ortodoxos,NOUN CCONJ NOUN DET ADP DET ADJ NOUN NOUN ADJ NOUN PART VERB CCONJ VERB DET NOUN NOUN VERB PUNCT ADP ADP CCONJ ADP DET NOUN ADP PUNCT X VERB PUNCT ADP CCONJ ADJ PART PUNCT VERB NOUN VERB ADP ADJ ADJ NOUN CCONJ ADP DET NOUN NOUN VERB ADP DET ADJ NOUN ADP NOUN ADP NOUN ADP DET DET ADJ NOUN VERB VERB ,NN CC NN DT IN DT JJ NN NN JJ NN TO VB CC VB DT NN NN VBZ '' IN IN CC IN DT NN IN `` XX VBZ '' IN CC JJ TO `` VBP NNS VBN IN JJ JJ NN CC IN DT NN NN VBN IN DT JJ NN IN NNS IN NN IN WDT DT JJ NN VBZ VBN ,AUX DET NOUN ADP DET NOUN ADP NOUN ADJ ADP DET DET NOUN ADP NOUN ADJ DET NOUN ADP NOUN ADP DET NOUN ADJ ADP NOUN ADJ ADJ SCONJ NOUN ADJ NOUN ADJ VERB VERB AUX ADP ADP SPACE ADP NOUN NOUN PUNCT ADP NOUN ADP DET ADV ADP SPACE ADP DET NOUN ADP NOUN ADP NOUN ADJ ADV NOUN ADP DET NOUN ADJ CCONJ NOUN ADJ ,VBZ DT NN IN DT NNS IN NN JJ IN DT DT NNS IN NNS VBN DT NNS IN NN IN DT NNS JJ IN NNS JJ VBN IN NN JJ NN JJ TO VB VBZ VBZ IN IN _SP IN NNP NNP SYM IN NN IN DT RB IN _SP IN DT NNS IN NN IN NNS VBN RB NNS IN DT NNS JJ CC NNS JJ 
9,the boys soccer team was coached by gene chyzowych one of the most successful active scholastic soccer coaches in the nation the  boys soccer team won the north ii group iv state sectional championship with a − win over westfield high school in the tournament final,desde antes incluso de su retirada vlade divac ha formado parte de la estructura de diversos clubes de baloncesto a finales de  se convirtió en presidente del partizan de belgrado aunque debido a su ocupación como jugador en la nba fue su compatriota amigo y vicepresidente del equipo predrag danilović quien se hizo cargo en la práctica de las riendas de la escuadra además después de dar por finiquitada su carrera como jugador el ya ex pivot trabajó como scout para los lakers durante un año,DET NOUN NOUN NOUN VERB VERB ADP NOUN NOUN NUM ADP DET ADV ADJ ADJ ADJ NOUN NOUN ADP DET NOUN DET SPACE NOUN NOUN NOUN VERB DET NOUN NUM NOUN PUNCT NOUN NOUN NOUN ADP DET ADJ NOUN ADP NOUN ADJ NOUN ADP DET NOUN ADJ ,DT NNS NN NN VBD VBN IN NN NN CD IN DT RBS JJ JJ JJ NN NNS IN DT NN DT _SP NNS NN NN VBD DT NN CD NN LS NN NN NN IN DT JJ NN IN NN JJ NN IN DT NN JJ ,ADP ADV ADV ADP DET NOUN NOUN NOUN AUX VERB NOUN ADP DET NOUN ADP DET NOUN ADP NOUN ADP NOUN ADP SPACE PRON VERB ADP NOUN ADP NOUN ADP NOUN SCONJ ADJ ADP DET NOUN SCONJ NOUN ADP DET NOUN AUX DET NOUN NOUN CCONJ NOUN ADP NOUN VERB NOUN PRON PRON VERB NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN ADV ADV ADP VERB ADP ADJ DET NOUN SCONJ NOUN DET ADV ADJ NOUN VERB SCONJ NOUN ADP DET NOUN ADP DET NOUN ,IN RB RB IN PRP$ NN NNP NNP VBZ VBN NN IN DT NN IN DT NNS IN NN IN NNS IN _SP PRP VBD IN NN IN NN IN NN IN JJ IN PRP$ NN IN NN IN DT NN VBD PRP$ NN NN CC NN IN NN VBD NNS WP PRP VBD NN IN DT NN IN DT NNS IN DT NN RB RB IN TO VB IN JJ PRP$ NN IN NN DT RB JJ NN VBD IN NN IN DT NNS IN DT NN 
