,correct_trigram_tags,error_type,count
329,IN DT NN,RT,158
426,IN PRP$ NN,RT,55
391,IN NNP IN,RT,32
1434,VB DT NN,RV,31
27,", PRP MD",MP,27
1656,VBD TO VB,TV,24
344,IN DT NNS,RT,24
739,NN IN DT,RN,23
173,"DT NN ,",MD,19
741,NN IN DT,S,18
695,NN . _,S,18
424,IN PRP$ NN,MT,18
1462,VB IN DT,RV,18
212,DT NN NN,MD,16
1574,VBD DT NN,TV,16
855,NN TO VB,S,15
1363,TO VB DT,FV,15
198,DT NN IN,MD,15
403,IN PRP .,RT,14
693,NN . _,RN,14
1368,TO VB IN,FV,14
623,MD VB IN,TV,13
401,"IN PRP ,",RT,13
643,MD VB TO,TV,13
520,JJ IN DT,S,13
1144,PRP VBZ RB,MA,13
588,JJ TO VB,S,13
14,", IN DT",MP,13
656,"NN , IN",AGN,12
619,MD VB DT,TV,12
1698,VBG IN DT,FV,12
1435,VB DT NN,S,12
161,DT JJ NN,MD,11
498,JJ . _,S,11
30,", PRP VBP",MP,11
1138,PRP VBZ JJ,MA,10
432,IN PRP$ NNS,RT,10
755,NN IN NN,S,10
1514,VB PRP$ NN,RV,9
974,NNS IN NNS,AGN,9
552,JJ NN IN,RJ,9
753,NN IN NN,RN,9
1058,PRP MD VB,RA,9
378,IN NN IN,RT,9
1688,VBG DT NN,FV,9
1374,TO VB IN,UT,8
854,NN TO VB,RN,8
1629,VBD PRP$ NN,S,8
62,", WDT VBZ",MP,8
554,JJ NN IN,S,8
180,DT NN .,MD,8
517,JJ IN DT,RJ,8
1690,VBG DT NN,IV,8
1572,VBD DT NN,RV,8
1059,PRP MD VB,TV,7
1691,VBG DT NN,RT,7
28,", PRP VBD",MP,7
42,", RB RB",MP,7
795,NN NN IN,AGN,7
1066,PRP PRP$ NN,MA,7
1268,RB JJ .,RY,7
774,NN IN NNS,S,7
495,JJ . _,RJ,7
49,", VBG DT",MP,7
206,DT NN IN,UT,7
21,", IN PRP$",MP,6
659,"NN , IN",S,6
90,. _ _,U,6
963,NNS IN DT,FN,6
962,NNS IN DT,AGN,6
1972,VBZ DT NN,AGV,6
1842,VBN TO VB,S,6
1654,VBD TO VB,RV,6
1247,RB IN DT,S,6
1866,VBP DT NN,TV,6
614,MD RB VB,W,6
2049,WP NN IN,RQ,6
1499,VB PRP DT,RV,6
989,NNS MD VB,AGN,6
1714,VBG IN PRP$,RV,6
735,NN IN DT,DN,6
587,JJ TO VB,RJ,6
1056,PRP MD VB,MA,6
404,IN PRP CC,RT,6
641,MD VB TO,MV,5
423,IN PRP$ NN,ID,5
875,NN VBZ IN,RN,5
1841,VBN TO VB,RV,5
1190,"PRP$ RB ,",DA,5
1437,VB DT NN,TV,5
19,", IN PRP",MP,5
1266,RB JJ .,DY,5
17,", IN NN",MP,5
367,IN JJ NN,RT,5
1703,VBG IN NN,FV,5
1515,VB PRP$ NN,S,5
767,NN IN NNP,SA,5
1431,VB DT NN,FV,5
738,NN IN DT,R,5
1692,VBG DT NN,RV,5
230,DT NN VBD,W,5
1133,PRP VBZ IN,MA,5
412,IN PRP TO,MT,5
572,JJ NNS IN,IJ,5
326,IN DT NN,R,5
1774,VBG TO VB,IV,5
1386,TO VB PRP$,FV,5
94,. _ _,UY,5
92,. _ _,UN,5
324,IN DT NN,M,5
89,. _ _,MP,5
1752,VBG PRP$ NN,FV,5
636,MD VB RB,TV,5
1704,VBG IN NN,IV,5
493,JJ . _,DJ,5
1935,VBP TO VB,RV,5
249,DT NNS IN,MD,4
200,DT NN IN,R,4
2067,`` IN DT,UN,4
1443,VB DT NNS,RV,4
2,", '' IN",MP,4
1810,VBN IN DT,TV,4
1937,VBP TO VB,TV,4
711,NN CC DT,S,4
208,DT NN IN,W,4
691,NN . _,DN,4
289,EX VBD DT,RA,4
1566,VBD CD NNS,TV,4
190,DT NN CC,RD,4
1042,PRP IN DT,MA,4
1592,VBD IN PRP$,TV,4
1351,"TO VB ,",FV,4
184,DT NN .,UT,4
1860,VBP DT NN,AGV,4
233,DT NN VBZ,W,4
671,"NN , RB",S,4
1490,VB NN IN,RV,4
657,"NN , IN",RN,4
323,IN DT NN,ID,4
325,IN DT NN,MT,4
225,DT NN TO,MD,4
949,NNS . _,FN,4
610,MD PRP VB,W,4
66,", WRB PRP",MP,4
443,IN VBG DT,MT,4
444,IN VBG IN,RT,4
449,IN VBG PRP$,MT,4
772,NN IN NNS,RN,4
621,MD VB IN,RV,4
1391,TO VB PRP$,UT,4
1459,VB IN DT,FV,4
1217,RB . _,DY,4
2029,WDT NN IN,RQ,4
1118,PRP VBP RB,W,4
1246,RB IN DT,RY,4
515,JJ IN DT,DJ,4
786,NN MD VB,RN,4
549,JJ NN IN,DJ,4
858,NN VBD IN,S,4
1512,VB PRP$ NN,FV,4
1463,VB IN DT,S,4
402,IN PRP .,MT,4
1801,VBN DT NN,RV,4
1263,"RB JJ ,",DY,4
1747,VBG PRP RB,FV,4
684,NN . IN,RP,3
470,"JJ , DT",S,3
1049,PRP IN PRP$,MA,3
630,MD VB PRP,MV,3
275,DT VBZ DT,RA,3
1586,VBD IN NNP,TV,3
645,MD VB VBN,MV,3
1631,VBD PRP$ NN,TV,3
941,"NNS , RB",FN,3
1405,TO VB VBN,FV,3
486,JJ . IN,S,3
1040,PRP DT NN,MA,3
