,sentence,correct,tags,trigram,en,es,model_result
0,The firemen arrived ten minutes later.,True,DT NNS VBD CD NNS RB . ,DT NNS VBD,-4.039931712592055,-4.467963724666892,True
1,Arrived the firemen ten minutes later.,False,VBD DT NNS CD NNS RB . ,VBD DT NNS,-2.8126895002572883,-2.062189693257991,True
2,Yesterday played very well the children.,False,NN VBD RB RB DT NNS . ,DT NNS .,-2.5621806181430697,-2.6525399160781933,False
3,Played very well the children yesterday.,False,VBN RB RB DT NNS NN . ,VBN RB RB,-1.817231760908797,-2.4649857451473984,False
4,Yesterday the children played very well.,True,NN DT NNS VBD RB RB . ,DT NNS VBD,-4.039931712592055,-4.467963724666892,True
5,The children played very well yesterday.,True,DT NNS VBD RB RB NN . ,DT NNS VBD,-4.039931712592055,-4.467963724666892,True
6,Often she has helped.,False,RB PRP VBZ VBN . ,RB PRP VBZ,-2.0924921806479566,-0.7435665342950651,True
7,She often has helped.,False,PRP RB VBZ VBN . ,RB VBZ VBN,-3.8497800158919335,-2.111953857317731,True
8,They live in the house white.,False,PRP VBP IN DT NN JJ . ,DT NN JJ,-4.107909950663502,-1.4947957712140574,True
9,Can you lend me a ball of tennis?,False,MD PRP VB PRP DT NN IN NN . ,NN IN NN,-1.8274010991701664,-1.496617797021662,True
10,The Club of Bridge of the University of Cambridge.,False,DT NNP IN NNP IN DT NNP IN NNP . ,NNP IN NNP,-1.2671454716706527,-1.2678873349828843,False
11,They gave to Sam the book.,False,PRP VBD IN NNP DT NN . ,IN NNP DT,-4.3967719525379145,-3.3753126830970688,True
12,They gave the book to Sam.,True,PRP VBD DT NN IN NNP . ,IN NNP .,-2.158963489484924,-2.2793373034471784,True
13,They took to the hospital her mother.,False,PRP VBD IN DT NN PRP$ NN . ,NN PRP$ NN,-0.8042570841826577,-0.7023984304454626,True
14,Mrs Smith speaks very well English.,False,NNP NNP VBZ RB RB NNP . ,RB RB NNP,-5.0274470341196835,-4.980578881399643,True
15,Keep tidy Britain.,False,VB JJ NNP . ,VB JJ NNP,-5.083416177836073,-5.255933835010255,False
16,John has bought the books?,True,NNP VBZ VBN DT NNS . ,NNP VBZ VBN,-1.489348792304633,-1.6707178230485609,True
17,Has bought the books John?,False,VBZ VBN DT NNS NNP .,VBZ VBN DT,-2.066547419267783,-1.290738309545307,True
18,Mary came?,True,NNP VBD . ,NNP VBD .,-3.907888289685737,-5.518581463621182,True
19,When Mary came?,False,WRB NNP VBD . ,WRB NNP VBD,-2.1806325762346352,-4.358122792158542,False
20,Came Mary?,False,VBD NNP . ,VBD NNP .,-3.2156632468948634,-2.5035668509793894,True
21,"Mary, when came?",False,"NNP , WRB VBD . ",WRB VBD .,-8.891287968969747,-7.712254208203985,True
22,Who did kill Oswald?,False,WP VBD VB NNP . ,VBD VB NNP,-4.146041342538691,-11.52190250995423,False
23,Who Oswald killed?,False,WP NNP VBD . ,WP NNP VB,-7.255307308748157,-8.140639434795157,False
24,Who killed to Kennedy?,False,WP VBD IN NNP . ,IN NNP .,-2.158963489484924,-2.2793373034471784,False
25,Who Kennedy killed?,False,WP NNP VBD . ,WP NNP VBD,-3.0455317152225976,-3.318597826099219,False
26,Did they went?,False,VBD PRP VBD . ,VBD PRP VBD,-2.8189500004954837,-2.8907579851594085,False
27,Do they went?,False,VBP PRP VBD . ,VBP PRP VBD,-4.242488593956196,-4.40707678719752,False
28,Do she goes?,False,VBP PRP VBZ . ,VBP PRP VBZ,-2.2419341188701627,-2.1328269187054283,True
29,Does she goes?,False,VBZ PRP VBZ . ,VBZ . _,-0.06807886362559097,-0.07973263020609145,False
30,"They're coming tomorrow, no?",False,"PRP VBP VBG NN , UH . ",UH . _,-0.12958598344278865,-0.384865469702997,False
31,"You have a car, no?",False,"PRP VBP DT NN , UH . ",", UH .",-2.751136149970219,-2.3391384384791194,True
32,Peter not found the key.,False,NNP RB VBD DT NN . ,RB VBD DT,-1.4493866409111815,-1.665288833911566,False
33,Peter not has found the key.,False,NNP RB VBZ VBN DT NN . ,RB VBZ VBN,-3.8497800158919335,-2.111953857317731,True
34,I no understand.,False,PRP RB VBP . ,RB VBP .,-3.897582880957698,-4.373789270398888,False
35,Those no.,False,DT UH . ,DT UH .,-3.0328426265715422,-0.3924829894767338,True
36,Green no.,False,NNP NN . ,NNP NN .,-1.8050164970116649,-2.2071011207615667,False
37,Here no.,False,RB UH . ,RB UH .,-4.133953920945614,-0.03938977483684592,True
38,I not saw nobody.,False,PRP RB VBD NN . ,RB VBD NN,-3.341354909058288,-2.7739640341411222,True
39,I didn't see nobody.,False,PRP VBD RB VB NN . ,VBD RB VB,-1.8821494264645613,-5.842099721011343,False
40,Tom not helps her never.,False,NNP RB VBZ PRP RB . ,RB VBZ PRP,-3.4592814014109914,-5.011642938595942,False
41,Tom doesn't help her never.,False,NNP VBZ RB VB PRP RB . ,VBZ RB VB,-2.4986383757292567,-5.739663255867675,False
42,I waited but anybody came.,False,PRP VBD CC NN VBD . ,NN VBD .,-4.122935402448163,-4.8238393598142615,False
43,Maria cans cook.,False,NNP NNS VBP . ,NNS VBP .,-4.1689042263122165,-4.938492913429885,False
44,Do you can swim?,False,VBP PRP MD VB . ,VBP PRP MD,-2.1917709062099378,-3.434475553112004,False
45,May you come tomorrow?,False,MD PRP VB NN . ,MD PRP VB,-0.29767459064877044,-11.877569477090649,False
46,She could find the key.,False,PRP MD VB DT NN . ,MD VB DT,-1.6468266552337931,-1.6336287931906386,True
47,She had to win the match.,False,PRP VBD TO VB DT NN . ,VBD TO VB,-0.04204960363044728,-0.03493270931256465,True
48,They will can do it next week.,False,PRP MD MD VB PRP JJ NN . ,MD MD VB,-0.1990965959746636,-11.877569477090649,False
49,She went up the stairs.,True,PRP VBD RP DT NNS . ,VBD RP DT,-1.3024239369742556,-11.892951095888893,True
50,She went up the book.,False,PRP VBD RP DT NN . ,VBD RP DT,-1.3024239369742556,-11.892951095888893,False
51,They were waiting.,True,PRP VBD VBG . ,PRP VBD VBG,-3.5943189103786164,-4.394556890066814,True
52,They were waiting the bus.,False,PRP VBD VBG DT NN . ,VBG DT NN,-0.8168848859857272,-0.5553590831442649,True
53,Mary laughed. What did she laugh?,False,NNP VBD . WP VBD PRP VB . ,VB . _,-0.05955177880419003,-0.05802034107318271,True
54,Football likes me.,False,NN VBZ PRP . ,NN VBZ PRP,-4.428685518100552,-6.227604460897945,False
55,"Do they want some money? Yes, they want.",False,"VBP PRP VB DT NN . UH , PRP VBP . ",VBP . _,-0.06377011963630445,-0.06169335877018125,True
56,"Do you want to go? No, I don't want.",False,"VBP PRP VB TO VB . UH , PRP VBP RB VB . ",VB . _,-0.05955177880419003,-0.05802034107318271,True
57,I like to get up early; I'm used.,False,PRP VBP TO VB RP RB : PRP VBP VBN . ,VBN . _,-0.05675180828665626,-0.0558949034501783,True
58,"Are they coming? No, I don't think.",False,"VBP PRP VBG . UH , PRP VBP RB VB . ",VB . _,-0.05955177880419003,-0.05802034107318271,True
59,Look! It rains!,False,VB . PRP VBZ . ,PRP VBZ .,-4.3630486520380245,-3.301614332143988,True
60,Do I come tomorrow?,False,VBP PRP VB NN . ,VBP PRP VB,-2.5428477760523065,-7.6788730431483225,False
61,I wait for you at home.,False,PRP VBP IN PRP IN NN . ,VBP IN PRP,-1.984558937503924,-2.954332320430204,False
62,I see her this evening.,False,PRP VBP PRP DT NN . ,VBP PRP DT,-3.56949438072573,-1.6848813068308588,True
63,How long are you working in your present job?,False,WRB RB VBP PRP VBG IN PRP$ JJ NN . ,VBP PRP VBG,-3.4352657094531707,-6.4393220279532875,False
64,It's a long time that I live here.,False,PRP VBZ DT JJ NN WDT PRP VBP RB . ,VBP RB .,-4.1874558066103384,-3.2746033692140215,True
65,When has she received the letter?,False,WRB VBZ PRP VBD DT NN . ,VBZ PRP VBD,-5.215706032648484,-5.040767204048676,True
66,Today I've finished work early because I've started at seven o'clock this morning.,False,NN PRP VB VBN NN RB IN PRP VB VBN IN CD NN DT NN . ,VB VBN NN,-4.091061094406949,-4.056991482817273,True
