,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,sentence,correct,tags,en,es,model_result
0,0,0,0,The firemen arrived ten minutes later.,True,DT NNS VBD CD NNS RB . ,-12.565441012173688,-13.730625533809226,True
1,1,1,1,Arrived the firemen ten minutes later.,False,VBD DT NNS CD NNS RB . ,-14.976397285912547,-12.809509205134402,True
2,2,2,2,Yesterday played very well the children.,False,NN VBD RB RB DT NNS . ,-9.804493364960797,-9.236480355539905,True
3,3,3,3,Played very well the children yesterday.,False,VBN RB RB DT NNS NN . ,-11.868417793491494,-13.04805042083184,False
4,4,4,4,Yesterday the children played very well.,True,NN DT NNS VBD RB RB . ,-10.667846000431245,-12.96131814256757,True
5,5,5,5,The children played very well yesterday.,True,DT NNS VBD RB RB NN . ,-12.860725224832704,-14.972963004274295,True
6,6,6,6,Often she has helped.,False,RB PRP VBZ VBN . ,-4.43992186114072,-2.4259516079131926,True
7,7,7,7,She often has helped.,False,PRP RB VBZ VBN . ,-6.406445414785408,-4.1131149164850695,True
8,8,8,8,They live in the house white.,False,PRP VBP IN DT NN JJ . ,-9.000618660463289,-4.522076534422606,True
9,9,9,9,Can you lend me a ball of tennis?,False,MD PRP VB PRP DT NN IN NN . ,-9.338228307739616,-12.371764464236824,False
10,10,10,10,The Club of Bridge of the University of Cambridge.,False,DT NNP IN NNP IN DT NNP IN NNP . ,-11.801346930322484,-9.341474863267322,True
11,11,11,11,They gave to Sam the book.,False,PRP VBD IN NNP DT NN . ,-9.431836674500124,-7.532792826040588,True
12,12,12,12,They gave the book to Sam.,True,PRP VBD DT NN IN NNP . ,-5.864808439333844,-5.257630508784626,False
13,13,13,13,They took to the hospital her mother.,False,PRP VBD IN DT NN PRP$ NN . ,-12.046812744502606,-11.196689046410803,True
14,14,14,14,Mrs Smith speaks very well English.,False,NNP NNP VBZ RB RB NNP . ,-11.934666175593202,-12.880930813083891,False
15,15,15,15,Keep tidy Britain.,False,VB JJ NNP . ,-5.559572802672457,-5.540565287599983,True
16,16,16,16,John has bought the books?,True,NNP VBZ VBN DT NNS . ,-6.277692864586228,-4.764467000670709,False
17,17,17,17,Has bought the books John? Mary came?,False,VBZ VBN DT NNS NNP . NNP VBD . ,-27.326434853869767,-20.469519917979603,True
18,18,18,18,When Mary came?,False,WRB NNP VBD . ,-2.164108295689112,-4.0342406381523945,False
19,19,19,19,Came Mary?,False,VBD NNP . ,-3.196985068534038,-2.47463393993228,True
20,20,20,20,"Mary, when came?",False,"NNP , WRB VBD . ",-9.962024424818448,-13.540233661187198,False
21,21,21,21,Who did kill Oswald?,False,WP VBD VB NNP . ,-9.808364185944745,-12.283311425870972,False
22,22,22,22,Who Oswald killed?,False,WP NNP VBD . ,-3.0350531419479787,-3.29308961152919,False
23,23,23,23,Who killed to Kennedy?,False,WP VBD IN NNP . ,-4.0737727737294485,-3.3869469336788365,True
24,24,24,24,Who Kennedy killed?,False,WP NNP VBD . ,-3.0350531419479787,-3.29308961152919,False
25,25,25,25,Did they went?,False,VBD PRP VBD . ,-2.807305159197551,-2.863665010034358,False
26,26,26,26,Do they went?,False,VBP PRP VBD . ,-4.327982306914442,-4.35593152389103,False
27,27,27,27,Do she goes?,False,VBP PRP VBZ . ,-2.2255918322490604,-2.103046099449257,True
28,28,28,28,Does she goes?,False,VBZ PRP VBZ . ,-3.366390954910593,-2.806218246178532,True
29,29,29,29,"They're coming tomorrow, no?",False,"PRP VBP VBG NN , UH . ",-15.293504551805668,-19.487284335662686,False
30,30,30,30,"You have a car, no?",False,"PRP VBP DT NN , UH . ",-12.89197048677778,-15.129467634105207,False
31,31,31,31,Peter not found the key.,False,NNP RB VBD DT NN . ,-3.9879676465194662,-5.073700772780493,False
32,32,32,32,Peter not has found the key.,False,NNP RB VBZ VBN DT NN . ,-8.04409466903617,-4.95686836406827,True
33,33,33,33,I no understand.,False,PRP RB VBP . ,-0.7421652680140682,-1.1110793615939605,False
34,34,34,34,Those no.,False,DT UH . ,-3.1403135023650988,-0.6505875661411494,True
35,35,35,35,Green no.,False,NNP NN . ,-1.7807008926995478,-2.1710116516733087,False
36,36,36,36,Here no.,False,RB UH . ,-4.093550596320925,-2.772588722239781,True
37,37,37,37,I not saw nobody.,False,PRP RB VBD NN . ,-5.788510634609237,-5.399402794477148,True
38,38,38,38,I didn't see nobody.,False,PRP VBD RB VB NN . ,-6.9562342399295725,-16.820686671374432,False
39,39,39,39,Tom not helps her never.,False,NNP RB VBZ PRP RB . ,-6.947698567313241,-9.693892592128488,False
40,40,40,40,Tom doesn't help her never.,False,NNP VBZ RB VB PRP RB . ,-9.29459462208171,-19.158988055523817,False
41,41,41,41,I waited but anybody came.,False,PRP VBD CC NN VBD . ,-15.034571399739336,-14.498624156925251,True
42,42,42,42,Maria cans cook.,False,NNP NNS VBP . ,-2.36139228975228,-3.921865711032327,False
43,43,43,43,Do you can swim?,False,VBP PRP MD VB . ,-2.530002447888924,-3.398409175535223,False
44,44,44,44,May you come tomorrow?,False,MD PRP VB NN . ,-3.712939587028817,-8.720007043222777,False
45,45,45,45,She could find the key.,False,PRP MD VB DT NN . ,-2.894718736725432,-2.2865837894384784,True
46,46,46,46,She had to win the match.,False,PRP VBD TO VB DT NN . ,-4.871529419232768,-4.593612424716526,True
